site,date,start_hour,value,variable,units,quality,prelim,name,latitude,longitude,obs_type,monitoring_id,flag 
2077,2016-04-02,13,0.0630,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-02,14,0.0650,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-02,15,0.0700,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-02,16,0.0800,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-02,17,0.0710,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-02,18,0.0650,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-02,19,0.0530,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-02,20,0.0440,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-02,21,0.0400,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-02,22,0.0390,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-02,23,0.0360,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-03,0,0.0320,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-03,1,0.0360,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-03,2,0.0340,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-03,3,0.0370,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-03,4,0.0360,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-03,5,0.0340,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-03,6,0.0390,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-03,7,0.0430,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-03,8,0.0490,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-03,9,0.0570,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-03,10,0.0640,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-03,11,0.0660,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-03,12,0.0700,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-03,13,0.0710,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-03,14,0.0740,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-03,15,0.0810,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-03,16,0.0800,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-03,17,0.0710,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-03,18,0.0660,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-03,19,0.0440,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-03,20,0.0390,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-03,21,0.0400,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-03,22,0.0330,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-03,23,0.0330,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-04,0,0.0330,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-04,1,0.0320,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-04,2,0.0320,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-04,3,0.0310,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-04,4,0.0320,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-04,5,0.0290,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-04,6,0.0270,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-04,7,0.0400,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-04,8,0.0470,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-04,9,0.0510,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-04,10,0.0570,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-04,11,0.0600,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-04,12,0.0650,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-04,13,0.0690,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-04,14,0.0720,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-04,15,0.0740,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-04,16,0.0760,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-04,17,0.0660,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-04,18,0.0560,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-04,19,0.0440,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-04,20,0.0270,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-04,21,0.0320,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-04,22,0.0340,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-04,23,0.0310,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-05,0,0.0310,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-05,1,0.0340,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-05,2,0.0330,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-05,3,0.0320,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-05,4,0.0350,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-05,5,0.0320,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-05,6,0.0300,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-05,7,0.0400,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-05,8,0.0530,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-05,9,0.0580,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-05,10,0.0630,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-05,11,0.0680,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-05,12,0.0690,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-05,13,0.0750,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-05,14,0.0770,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-05,15,0.0720,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-05,16,0.0630,OZONE,Parts Per Million ( ppm ),0,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-05,17,0.0580,OZONE,Parts Per Million ( ppm ),1,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
2077,2016-04-05,18,0.0690,OZONE,Parts Per Million ( ppm ),2,y,Redlands-Dearborn,34.059747000000002,-117.14731500000001,H,, 
